standardised_income_difficulties_cant_afford_night_out__synthetic_estimates, median_equivalised_household_income_synthetic_estimates, standardised_income_difficulties_access_money_synthetic_estimates, standardised_gini_coefficient_synthetic_estimates, standardised_leaving_low_income_from_benefit__synthetic_estimates, income_difficulties_cant_afford_night_out__synthetic_estimates, gini_coefficient_synthetic_estimates, median_disposable_household_income_synthetic_estimates, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, sa2_main11, standardised_median_disposable_household_income_synthetic_estimates, income_difficulties_access_money_synthetic_estimates, standardised_median_equivalised_household_income_synthetic_estimates, sa2_name11, leaving_low_income_from_benefit__synthetic_estimates
0.769070446,945.8,1.176416195,1.244779284,1.249701352,14.0,0.35,1485.8,7.4,0.768144481,801061067,1.38758985,15.4,1.496303618,"Narrabundah",27.5
null,null,null,null,null,null,null,null,null,null,801061066,null,null,null,"Lake Burley Griffin",null
0.307628178,1279.6,0.38195331,0.960258305,1.160177292,5.6,0.27,1652.4,2.2,0.228367278,801061065,1.543177728,5.0,2.024392165,"Kingston - Barton",25.53
0.824004049,899.0,0.947244209,1.066953672,1.267878827,15.0,0.3,1643.4,5.3,0.550157533,801071079,1.53477262,12.4,1.422263642,"Gowrie (ACT)",27.9
0.49440243,1101.6,0.931966076,1.244779284,1.39739333,9.0,0.35,1579.8,6.6,0.685101834,801061064,1.475376528,12.2,1.742787128,"Griffith (ACT)",30.75
0.285654737,1369.2,0.290284516,1.209214162,1.335135481,5.2,0.34,2180.8,1.1,0.114183639,801061063,2.036650925,3.8,2.166143913,"Forrest",29.38
0.439468826,1139.2,0.565290899,1.209214162,1.256517905,8.0,0.34,1728.6,4.1,0.425593564,801061062,1.614340971,7.4,1.802272236,"Deakin",27.65
0.824004049,912.6,0.779184752,1.066953672,1.112461422,15.0,0.3,1631.4,4.2,0.435973894,801071073,1.523565811,10.2,1.443779532,"Calwell",24.48
0.626243077,1020.8,0.779184752,1.138083917,1.225616199,11.4,0.32,1557.0,6.2,0.643580511,801051061,1.454083589,10.2,1.614957425,"Watson",26.97
0.49440243,1128.2,0.886131679,1.209214162,1.442382579,9.0,0.34,1557.2,8.6,0.892708451,801051060,1.454270369,11.6,1.784869678,"Turner",31.74
0.867950932,861.8,1.894488417,1.635995631,1.624157321,15.8,0.46,1176.0,19.0,1.972262856,801051059,1.098267374,24.8,1.363411353,"Reid",35.74
0.681176681,996.0,0.947244209,1.209214162,1.236977121,12.4,0.34,1585.6,6.0,0.622819849,801051058,1.480793153,12.4,1.575722566,"O''Connor (ACT)",27.22
0.681176681,962.2,0.993078606,1.244779284,1.309232581,12.4,0.35,1398.0,8.6,0.892708451,801051057,1.305593357,13.0,1.52224925,"Lyneham",28.81
0.714136843,936.0,0.718072223,1.173649039,1.122459033,13.0,0.33,1529.4,3.8,0.394452571,801051056,1.428307926,9.4,1.48079952,"Hackett",24.7
